полный_адрес;улица;номер_дома;год_постройки;этажность;материал_стен;планировка
Пушкина, 103;Пушкина;103;1982;5;п;
Пушкина, 114;Пушкина;114;2008;9;к;
Пушкина, 43;Пушкина;43;1986;5;к;
Пушкина, 57;Пушкина;57;1984;5;к;
Пушкина, 64;Пушкина;64;1993;5;к;
Пушкина, 67;Пушкина;67;1986;5;к;
Пушкина, 76;Пушкина;76;1968;3;к;ул
Пушкина, 82;Пушкина;82;1962;4;к;
Рабочая, 18;Рабочая;18;;5;;
Радищева, 20а;Радищева;20а;1989;3;п;
Радищева, 22;Радищева;22;1962;2;к;
Радищева, 22а;Радищева;22а;1987;2;к;
Радищева, 24;Радищева;24;1963;2;к;ул
Радищева, 25;Радищева;25;1973;2;к;ул
Радищева, 28;Радищева;28;1989;2;к;
Радищева, 29;Радищева;29;1966;2;к;
Радищева, 30;Радищева;30;1992;4;к;
Радищева, 33;Радищева;33;1993;4;к;
Радищева, 33а;Радищева;33а;2015;5;к;
Рахимова, 29;Рахимова;29;;5;п;
Рахимова, 31;Рахимова;31;;5;к;
Рахимова, 33;Рахимова;33;1974;5;к;ул
Рахимова, 35;Рахимова;35;1968;5;к;
Рахимова, 37;Рахимова;37;1968;5;п;
Рахимова, 48;Рахимова;48;1965;5;к;
Рахимова, 50;Рахимова;50;1965;5;к;
Рахимова, 52;Рахимова;52;1967;5;к;
Рахимова, 58;Рахимова;58;2025;9;к;
Рахимова, 66;Рахимова;66;1960;2;п;ст
Рахимова, 72;Рахимова;72;1960;2;к;
Рижская, 1;Рижская;1;1962;4;п;ст
Рижская, 104;Рижская;104;1975;5;п;
Рижская, 106;Рижская;106;1973;5;к;
Рижская, 108;Рижская;108;1974;5;к;
Рижская, 110;Рижская;110;1968;5;к;
Рижская, 112;Рижская;112;1968;5;п;
Рижская, 121;Рижская;121;1965;;;
Рижская, 123;Рижская;123;1965;5;к;
Рижская, 125;Рижская;125;1967;5;к;
Рижская, 133;Рижская;133;1958;2;к;
Рижская, 135;Рижская;135;1959;2;шл;
Рижская, 137;Рижская;137;1958;2;к;
Рижская, 139;Рижская;139;1958;2;к;
Рижская, 141;Рижская;141;;;;
Рижская, 143;Рижская;143;1958;2;шл;
Рижская, 145;Рижская;145;1958;2;шл;
Рижская, 1д;Рижская;1д;1966;5;к;
Рижская, 2;Рижская;2;1980;5;к;ул
Рижская, 22;Рижская;22;1971;5;к;ул
Рижская, 3;Рижская;3;1963;4;п;ст
Рижская, 30;Рижская;30;1962;4;к;
Рижская, 3а;Рижская;3а;1959;2;шл;
Рижская, 5;Рижская;5;1963;4;п;
Рижская, 7;Рижская;7;1953;4;п;
Рижская, 9;Рижская;9;1962;4;п;
Ружейникова, 10;Ружейникова;10;1951;2;к;
Ружейникова, 12;Ружейникова;12;1946;2;к;
Ружейникова, 14;Ружейникова;14;1947;2;к;
Ружейникова, 15;Ружейникова;15;1951;2;к;
Ружейникова, 8;Ружейникова;8;1951;2;к;
Ружейникова, 9;Ружейникова;9;1950;2;к;
Ружейникова, 95;Ружейникова;95;1968;3;к;
Ружейникова, 97;Ружейникова;97;1969;3;к;
Рузаева, 1;Рузаева;1;1951;2;к;
Рузаева, 10;Рузаева;10;1953;2;к;
Рузаева, 14;Рузаева;14;1962;4;к;
Рузаева, 16;Рузаева;16;1965;4;к;
Рузаева, 2;Рузаева;2;1956;2;к;
Рузаева, 24;Рузаева;24;1982;5;п;
Рузаева, 3;Рузаева;3;1950;2;к;
Рузаева, 4;Рузаева;4;1953;2;к;
Рузаева, 5;Рузаева;5;1948;2;к;
Рузаева, 6;Рузаева;6;1949;2;к;
Рузаева, 7;Рузаева;7;1947;2;к;
Рузаева, 8;Рузаева;8;1959;2;к;
Рыжова, 110;Рыжова;110;1967;2;к;
Рыжова, 112;Рыжова;112;1966;2;к;
Рыжова, 116;Рыжова;116;1966;2;;
Рыжова, 118;Рыжова;118;1967;2;б;ст
Рыжова, 124;Рыжова;124;1967;2;к;
Рыжова, 126;Рыжова;126;1975;2;к;
Сабита Муканова, 72;Сабита Муканова;72;1986;5;п;
Сабита Муканова, 91;Сабита Муканова;91;1990;5;к;
Садовая, 2;Садовая;2;1956;1;к/п;
Садовая, 36/11;Садовая;36/11;1967;1;;
Садовая, 4;Садовая;4;1956;1;к/п;
Садовая, 7;Садовая;7;1965;2;к;
Садовый., 3;Садовый.;3;1958;2;к;
Садовый., 7;Садовый.;7;1957;2;к;
Садовый., 9;Садовый.;9;1957;2;к;
Сатпаева, 15;Сатпаева;15;1967;5;к;
Сатпаева, 17;Сатпаева;17;1968;5;к;
Сатпаева, 2;Сатпаева;2;1987;5;к;
Сатпаева, 23;Сатпаева;23;1950;2;к;
Сатпаева, 25;Сатпаева;25;1970;5;к;нов
Сатпаева, 28;Сатпаева;28;1976/82;5;к;
Сатпаева, 28/60;Сатпаева;28/60;1982;5;к;
Сатпаева, 30;Сатпаева;30;1974;5;к;
Сатпаева, 34;Сатпаева;34;1971;5;к;ст
Сатпаева, 36;Сатпаева;36;1973;5;к;нов
Сатпаева, 38;Сатпаева;38;1981;9;к;
Сатпаева, 40;Сатпаева;40;1979;9;к;нов
Сатпаева, 42;Сатпаева;42;1979;9;к;нов
Сатпаева, 42а;Сатпаева;42а;2007;5;к;
Сатпаева, 46;Сатпаева;46;1934;3;к;
Сатпаева, 48;Сатпаева;48;1985;5;к;
Сатпаева, 50;Сатпаева;50;1989;5;к;нов
Сатпаева, 51;Сатпаева;51;1931;2;б;
Сатпаева, 53;Сатпаева;53;1931;2;б;
Сатпаева, 55;Сатпаева;55;1931;2;б;
Сатпаева, 58;Сатпаева;58;1980;5;к;
Сейфулина, 3а;Сейфулина;3а;;5;п;
Сейфулина, 58;Сейфулина;58;1981;5;п;
Сейфулина, 60;Сейфулина;60;1987;5;п;
Сейфуллина, 58;Сейфуллина;58;1981;5;п;
Сейфуллина, 60;Сейфуллина;60;1984;5;п;
Семашко, 11;Семашко;11;2017;9;к;
Семашко, 11В;Семашко;11В;2017;9;к;
Семашко, 11в;Семашко;11в;2017;9;к;
Семашко, 13а;Семашко;13а;2018;9;к;
Сенная, 18;Сенная;18;2019;5;п;
Сенная, 18А;Сенная;18А;2017;5;п;
Сенная, 18Е;Сенная;18Е;2018;5;п;
Сенная, 18е;Сенная;18е;2019;5;п;
Сенная, 20;Сенная;20;2020;5;к;
Сенная, 5;Сенная;5;2020;5;п;
Сенной, 18Е;Сенной;18Е;2019;5;п;
Советская, 119;Советская;119;1994;6;к;
Советская, 141;Советская;141;;6;к;
Советская, 144;Советская;144;2022;5;к;
Советская, 144/1;Советская;144/1;2023;0;к;нов
Советская, 25;Советская;25;1991;2;к;
Советская, 33;Советская;33;1985;5;;
Советская, 35;Советская;35;1996;4;к;
Советская, 39;Советская;39;1989;5;к;нов
Советская, 40;Советская;40;1971;5;п;ул
Советская, 45;Советская;45;1966;5;к;ул
Советская, 53;Советская;53;1991;6;к;
Советская, 59;Советская;59;1968;2;к;
Советская, 63;Советская;63;1995;6;к;
Советская, 70;Советская;70;1977;3;к;
Советская, 76;Советская;76;1971;5;п;
Советская, 89;Советская;89;1985;5;к;
Советская, 89а;Советская;89а;1992;5;к;
Советская, 93;Советская;93;1989/90;5;к;
Строительная, 6;Строительная;6;1966;5;п;ст
Строительная, 8;Строительная;8;1966;5;п;ул
Студен-я, 3;Студен-я;3;1972;5;к;
Студен-я, 6;Студен-я;6;1990;5;к;
Студенческая, 5;Студенческая;5;1974;1;п;
Студенческая, 6;Студенческая;6;1990;5;к;
Султан, 2/3;Султан;2/3;2024;5;к;
Сутюшева, 15;Сутюшева;15;1991;9;к;нов
Сутюшева, 17;Сутюшева;17;1990;9;п;
Сутюшева, 21;Сутюшева;21;1989;9;к;
Сутюшева, 43;Сутюшева;43;1984;9;;
Сутюшева, 47;Сутюшева;47;1975;5;п;
Сутюшева, 51;Сутюшева;51;1975;5;п;
Сутюшева, 53;Сутюшева;53;1984;9;к;
Сутюшева, 57;Сутюшева;57;1976;5;п;
Сутюшева, 59;Сутюшева;59;1976;5;п;
Сутюшева, 65;Сутюшева;65;1993;10;п;
Т. Мухамед-Рахимова, 50;Т. Мухамед-Рахимова;50;1965;5;к;
Тан Шолпан, 2/3;Тан Шолпан;2/3;2024;5;к;
Таншолпан, 2/3;Таншолпан;2/3;2024;5;к;
Таншолпан, новые;Таншолпан;новые;2024;;к;нов
Тауфик Мухамед-Рахимова, 31/106;Тауфик Мухамед-Рахимова;31/106;1973;5;к;
Тауфика Мухамедрахимова, 35;Тауфика Мухамедрахимова;35;1964;5;к;
Тауфика Мухамедрахимова, 74;Тауфика Мухамедрахимова;74;1958;5;к;
Таштитова, 20;Таштитова;20;2024;9;к;
Театральная, 40;Театральная;40;1940;2;п;
Театральная, 41;Театральная;41;1985;2;б;
Театральная, 44;Театральная;44;1964;4;к;
Театральная, 46;Театральная;46;1958;4;п;
Театральная, 47;Театральная;47;1990;9/10/2015;п;нов
Театральная, 48;Театральная;48;1968;4;к;
Театральная, 55;Театральная;55;1963;4;к;
Театральная, 55а;Театральная;55а;1982;5;к;
Театральная, 57;Театральная;57;1960;4;п;
Театральная, 63;Театральная;63;1962;4;п;ст
Темирязева, 19;Темирязева;19;1952;2;к;
Темирязева, 21;Темирязева;21;1952;2;к;
Темирязева, 23;Темирязева;23;1952;2;к;
Темирязева, 3;Темирязева;3;1980;2;к;
Теплые кусты, 4;Теплые кусты;4;1963;1;шп;
Теплые кусты, 5;Теплые кусты;5;1963;1;шп;
Теплые кусты, 6;Теплые кусты;6;1963;1;шп;
Теплые кусты, 7;Теплые кусты;7;1963;1;шп;
Токсан Би, 102;Токсан Би;102;1953;2;к;
Токсан Би, 21;Токсан Би;21;1961;4;к;
Токсан Би, 23;Токсан Би;23;1976;5;к;
Токсан Би, 24;Токсан Би;24;1980;5;к;
Токсан Би, 25;Токсан Би;25;1963;4;к;
Токсан Би, 27;Токсан Би;27;1963;4;к;
Токсан Би, 45;Токсан Би;45;1953;3;к;ст
Токсан Би, 80;Токсан Би;80;1978;5;;
Токсан Би, 82;Токсан Би;82;1980;5;к;
Токсан Би, 84;Токсан Би;84;1978;5;к;
Токсан би, 102;Токсан би;102;1950;2;к;
Токсан би, 21;Токсан би;21;1962;4;к;
Токсан би, 23;Токсан би;23;1963;4;к;
Токсан би, 25,25а;Токсан би;25,25а;1963;5/4/2015;к;
Токсан би, 27;Токсан би;27;1963;4;к;
Токсан би, 45;Токсан би;45;1953;3;к;
Токсан би, 49;Токсан би;49;1953;2;к;
Токсан би, 80;Токсан би;80;1978;5;к;
Токсан би, 82;Токсан би;82;1978;4;к;
Токсан би, 84;Токсан би;84;1977;5;к;
Труда, 30;Труда;30;1957;2;к;
Труда, 32;Труда;32;;2;д;
Труда, 43;Труда;43;1960;3;к;
Труда, 49;Труда;49;1987;5;п;нов
Труда, 51;Труда;51;1974;5;к;
Труда, 53;Труда;53;1966;2;к;
Труда, 55;Труда;55;1966;2;к;
Труда, 57;Труда;57;1966;2;к;
Труда, 59;Труда;59;1967;2;к;
Труда, 7;Труда;7;1957;2;к;
Тухачевского, 82;Тухачевского;82;;10;;
Уалиханова, 1/5;Уалиханова;1/5;2023;9;к;
Уалиханова, 10;Уалиханова;10;1960;4;к;нов
Уалиханова, 11;Уалиханова;11;;5;к;
Уалиханова, 12;Уалиханова;12;1960;4;к;
Уалиханова, 13;Уалиханова;13;;;;
Уалиханова, 14;Уалиханова;14;1959;3;к;
Уалиханова, 15;Уалиханова;15;;;;
Уалиханова, 16;Уалиханова;16;1959;3;к;
Уалиханова, 17;Уалиханова;17;1972;5;к;
Уалиханова, 18;Уалиханова;18;;;;
Уалиханова, 19;Уалиханова;19;;9;п;
Уалиханова, 2;Уалиханова;2;1961;4;к;
Уалиханова, 20;Уалиханова;20;1958;3;к;
Уалиханова, 21;Уалиханова;21;;9;п;
Уалиханова, 22;Уалиханова;22;1960;3;к;
Уалиханова, 23;Уалиханова;23;;9;п;
Уалиханова, 24;Уалиханова;24;1960;4;к;
Уалиханова, 25;Уалиханова;25;1993;9;к;
Уалиханова, 26;Уалиханова;26;;;;
Уалиханова, 27;Уалиханова;27;;;;
Уалиханова, 28;Уалиханова;28;1972;5;к;
Уалиханова, 29;Уалиханова;29;;;;
Уалиханова, 3;Уалиханова;3;;;;
Уалиханова, 30;Уалиханова;30;1970;5;п;
Уалиханова, 31;Уалиханова;31;;;;
Уалиханова, 32;Уалиханова;32;1991;6;к;нов
Уалиханова, 32А;Уалиханова;32А;2024;;;нов
Уалиханова, 32а;Уалиханова;32а;2024;9;к;
Уалиханова, 33;Уалиханова;33;;;;
Уалиханова, 34;Уалиханова;34;1970;5;п;
Уалиханова, 36;Уалиханова;36;1993;6/5/2015;к;
Уалиханова, 37;Уалиханова;37;;;;
Уалиханова, 38;Уалиханова;38;1974;5;п;
Уалиханова, 39;Уалиханова;39;;;;
Уалиханова, 4;Уалиханова;4;1962;5;к;
Уалиханова, 40;Уалиханова;40;;;;
Уалиханова, 41;Уалиханова;41;;;;
Уалиханова, 42;Уалиханова;42;;;;
Уалиханова, 43;Уалиханова;43;;;;
Уалиханова, 44;Уалиханова;44;2006;6;п;нов
Уалиханова, 45;Уалиханова;45;;;;
Уалиханова, 46;Уалиханова;46;2005;5;к;
Уалиханова, 46б;Уалиханова;46б;2005;5;;
Уалиханова, 47;Уалиханова;47;;;;
Уалиханова, 48;Уалиханова;48;;5;к;
Уалиханова, 48А;Уалиханова;48А;2005;5;к;
Уалиханова, 48а;Уалиханова;48а;2007;5;к;
Уалиханова, 5;Уалиханова;5;1963;5;п;
Уалиханова, 6;Уалиханова;6;1963;5;к;ул
Уалиханова, 7;Уалиханова;7;1969;5;п;ул
Уалиханова, 8;Уалиханова;8;1962;5;к;
Уалиханова, 9;Уалиханова;9;;;;
Украинская, 114;Украинская;114;1996;5;к;
Украинская, 123;Украинская;123;1970;2;к;
Украинская, 185;Украинская;185;1960;2;к;
Украинская, 187;Украинская;187;;2;к;
Украинская, 191;Украинская;191;1958;2;к;
Украинская, 197;Украинская;197;1959;2;к;
Украинская, 199;Украинская;199;1969;2;к;
Украинская, 201;Украинская;201;1960;3;п;ст
Украинская, 205;Украинская;205;1960;3;п;ул
Украинская, 207;Украинская;207;1960;3;п;
Украинская, 215;Украинская;215;1997;5;к;нов
Украинская, 219;Украинская;219;1990;5;к;нов
Украинская, 221;Украинская;221;1960;3;п;
Украинская, 226;Украинская;226;1946;1;щ/з;
Украинская, 228;Украинская;228;1946;1;щ/з;
Украинская, 230;Украинская;230;1985;3;к;нов
Украинская, 231;Украинская;231;1990;3;к;
Украинская, 232;Украинская;232;1962;2;щ/з;
Украинская, 234;Украинская;234;1962;3;п;
Украинская, 234а;Украинская;234а;1981;2;к;
Украинская, 234б;Украинская;234б;1990;3;к;
Украинская, 238;Украинская;238;1995;3;к;
Украинская, 254;Украинская;254;1974;1;;
Украинская, 255;Украинская;255;1983;1;к;
Украинская, 2556;Украинская;2556;1983;2;к;
Украинская, 256;Украинская;256;1983;2;к;
Ульяна Громова, 4/27;Ульяна Громова;4/27;1991;3;;
Ульянова, 15;Ульянова;15;1960;2;п;
Ульянова, 34;Ульянова;34;1963;4;к;
Ульянова, 36;Ульянова;36;1984;5;п;нов
Ульянова, 44;Ульянова;44;1979;5;к/б;
Ульянова, 47;Ульянова;47;1901;2;к;
Ульянова, 55;Ульянова;55;1977;5;п;ул
Ульяны Громовой, 2а;Ульяны Громовой;2а;1960;2;к;
Ульяны Громовой, 4;Ульяны Громовой;4;1992;3;к;
Ульяны Громовой, 6;Ульяны Громовой;6;1959;2;к;
Уральская, 27;Уральская;27;1960;2;ш/б;
Уральская, 28;Уральская;28;1968;2;ш/б;
Уральская, 29;Уральская;29;1961;2;ш/б;
Уральская, 3;Уральская;3;1954;2;ш/б;
Уральская, 30;Уральская;30;2017;5;к;
Уральская, 31;Уральская;31;1971;2;ш/б;
Уральская, 32;Уральская;32;2017;5;к;
Уральская, 4;Уральская;4;1954;2;ш/б;
Уральская, 5;Уральская;5;1990;2;к;
Уральская, 6;Уральская;6;1956;2;ш/б;
Урожайная, 11;Урожайная;11;1938;2;к;
Урожайная, 13;Урожайная;13;1940;2;к;
Урожайная, 17;Урожайная;17;1938;2;к;
Урожайная, 19;Урожайная;19;1938;2;к;
Ухабова, 11;Ухабова;11;2015;2;п;
Ухабова, 13;Ухабова;13;2014;2;к;
Ухабова, 15;Ухабова;15;2014;2;к;
Ухабова, 19;Ухабова;19;1995;4;к;нов
Ухабова, 19а;Ухабова;19а;1995;3;к;
Ухабова, 2;Ухабова;2;1989;4;к;
Ухабова, 24;Ухабова;24;1966;2;;
Ухабова, 25;Ухабова;25;2014;3;к;нов
Ухабова, 25а;Ухабова;25а;2013;3;к;
Ухабова, 27;Ухабова;27;2020;3;п;
Ухабова, 27А;Ухабова;27А;2014;3;к;
Ухабова, 29;Ухабова;29;2015;3;к;
Ухабова, 29А;Ухабова;29А;2015;3;к;
Ухабова, 29а;Ухабова;29а;2014;3;к;
Ухабова, 3;Ухабова;3;1993;3;п;ст
Ухабова, 4;Ухабова;4;1989;3;к;нов
Ухабова, 5;Ухабова;5;1993;3;п;
Ухабова, 6;Ухабова;6;1995;4;к;нов
Хименко, 1;Хименко;1;1985;9;п;нов
Хименко, 10;Хименко;10;1984;5;п;
Хименко, 10 а;Хименко;10 а;;5;к;
Хименко, 10а;Хименко;10а;1991;5;к;
Хименко, 11;Хименко;11;;;;
Хименко, 12;Хименко;12;1986;5;п;нов
Хименко, 12/2;Хименко;12/2;1985;5;п;
Хименко, 13;Хименко;13;;;;
Хименко, 14;Хименко;14;1987;5;п;
Хименко, 14/2;Хименко;14/2;1986;5;п;
Хименко, 14/3;Хименко;14/3;1987;5;п;ул
Хименко, 16;Хименко;16;2024;5;к;нвст
Хименко, 16/4;Хименко;16/4;2024;5;к;
Хименко, 2;Хименко;2;1986;9;п;нов
Хименко, 2/14/2015;Хименко;2/14/2015;;5;п;
Хименко, 20;Хименко;20;1997;5;п;нов
Хименко, 3;Хименко;3;1980/81;5;п;нов
Хименко, 3/14/2015;Хименко;3/14/2015;;5;п;
Хименко, 3/70;Хименко;3/70;1980;5;п;
Хименко, 4;Хименко;4;;;;
Хименко, 5;Хименко;5;1982;5;п;нов
Хименко, 6;Хименко;6;1987;5;п;
Хименко, 67;Хименко;67;1992;5;к;
Хименко, 7;Хименко;7;1987;5;п;
Хименко, 8;Хименко;8;1984;5;п;
Хименко, 9;Хименко;9;1988;9;п;
Ч.Уалиханова, 1;Ч.Уалиханова;1;;;;
Чайковского, 13;Чайковского;13;1958;5;п;ул
Чайковского, 13 а;Чайковского;13 а;200;5;к;
Чайковского, 13А;Чайковского;13А;;5;к;нов
Чайковского, 13а;Чайковского;13а;2007;5;к;нов
Чайковского, 15;Чайковского;15;1972;5;п;нов
Чайковского, 17;Чайковского;17;1972;5;п;ул
Чайковского, 18;Чайковского;18;1964;5;к;
Чайковского, 19;Чайковского;19;1972;5;п;ул
Чайковского, 20;Чайковского;20;1988;9;п;
Чайковского, 21;Чайковского;21;1973;5;п;
Чайковского, 3;Чайковского;3;1971;5;п;
Чайковского, 5;Чайковского;5;1971;5;п;
Чайковского, 7;Чайковского;7;1972;5;п;
Чайковского, 9;Чайковского;9;1972;5;п;
Чкалова, 65;Чкалова;65;1972;5;п;
Чокана Валиханова, 1/4;Чокана Валиханова;1/4;2023;9;к;
Чокана Валиханова, 1/5;Чокана Валиханова;1/5;2021;9;к;
Чокана Валиханова, 10;Чокана Валиханова;10;1967;4;к;
Чокана Валиханова, 17;Чокана Валиханова;17;1989;5;к;
Чокана Валиханова, 28;Чокана Валиханова;28;1983;5;к;
Чокана Валиханова, 38;Чокана Валиханова;38;1973;5;;
Чокана Валиханова, 40;Чокана Валиханова;40;2024;9;к;
Чокана Валиханова, 46;Чокана Валиханова;46;2005;5;к;нов
Шажимбаева, 129;Шажимбаева;129;1959;1;п;
Шажимбаева, 130;Шажимбаева;130;1995;2;;
Шажимбаева, 135;Шажимбаева;135;1953;1;к;
Шажимбаева, 15;Шажимбаева;15;1989;10;п;
Шокана Уалиханова, 1/3;Шокана Уалиханова;1/3;2024;9;к;
Шокана Уалиханова, 1/5;Шокана Уалиханова;1/5;2023;9;к;
Шокана Уалиханова, 1/6;Шокана Уалиханова;1/6;2022;9;к;
Шокана Уалиханова, 1/7;Шокана Уалиханова;1/7;2023;9;к;
Шокана Уалиханова, 11;Шокана Уалиханова;11;1970;5;к;
Шокана Уалиханова, 23;Шокана Уалиханова;23;1985;9;п;
Шокана Уалиханова, 32;Шокана Уалиханова;32;1993;6;к;
Шокана Уалиханова, 32А;Шокана Уалиханова;32А;2024;9;к;
Шокана Уалиханова, 32а;Шокана Уалиханова;32а;2022;9;к;
Шокана Уалиханова, 48;Шокана Уалиханова;48;2006;5;к;нов
Шокана Уалиханова, 6;Шокана Уалиханова;6;1963;5;к;
Шухова, 1;Шухова;1;1971;5;п;ул
Шухова, 10;Шухова;10;1977;5;п;ул
Шухова, 11;Шухова;11;;;;
Шухова, 12;Шухова;12;1976;5;п;ул
Шухова, 12А;Шухова;12А;1987;3;б;
Шухова, 12а;Шухова;12а;2022;3;б;
Шухова, 13;Шухова;13;;;;
Шухова, 14;Шухова;14;1976;5;к;
Шухова, 15;Шухова;15;;;;
Шухова, 16;Шухова;16;1976;5;п;
Шухова, 2;Шухова;2;1975;5;п;
Шухова, 20а;Шухова;20а;2023;9;к;
Шухова, 2Б;Шухова;2Б;2005;5;п;
Шухова, 2а;Шухова;2а;1983;5;к;
Шухова, 2б;Шухова;2б;2006;5;п;
Шухова, 3;Шухова;3;1979;5;п;ст
Шухова, 30;Шухова;30;1976;5;к;
Шухова, 32;Шухова;32;1976;5;к;
Шухова, 327Б;Шухова;327Б;1997;4;к;нов
Шухова, 32А;Шухова;32А;1997;9;п;
Шухова, 32а;Шухова;32а;1997;9;п;
Шухова, 34А;Шухова;34А;2007;2;к;
Шухова, 34а;Шухова;34а;1982;2;;
Шухова, 36;Шухова;36;1981;5;п;
Шухова, 38;Шухова;38;1979;5;к;нов
Шухова, 4;Шухова;4;1975;5;п;
Шухова, 42;Шухова;42;1984;5;к;ул
Шухова, 5;Шухова;5;;;;
Шухова, 5А;Шухова;5А;1995;5;к;
Шухова, 5а;Шухова;5а;1991;5;к;
Шухова, 6;Шухова;6;1975;5;п;ул
Шухова, 7;Шухова;7;;;;
Шухова, 8;Шухова;8;1976;5;п;
Шухова, 9;Шухова;9;;;;
Юбилейная, 1;Юбилейная;1;;;;
Юбилейная, 2;Юбилейная;2;1980;5;к;
Юбилейная, 2а;Юбилейная;2а;1983;5;п;
Юбилейная, 2б;Юбилейная;2б;1982;5;к;
Юбилейная, 2в;Юбилейная;2в;1985;5;к;
Юбилейная, 3;Юбилейная;3;1979;5;п;
Юбилейная, 4;Юбилейная;4;1974;5;п;
Юбилейная, 5а;Юбилейная;5а;1989;3;к;
Я. Гашека, 1;Я. Гашека;1;1958;2;шл;
Я. Гашека, 10;Я. Гашека;10;;;;
Я. Гашека, 11;Я. Гашека;11;1969;5;п;
Я. Гашека, 11а;Я. Гашека;11а;1970;5;п;
Я. Гашека, 13;Я. Гашека;13;1960;5;п;
Я. Гашека, 16;Я. Гашека;16;;5;к;
Я. Гашека, 17;Я. Гашека;17;;;;
Я. Гашека, 17а;Я. Гашека;17а;1972;5;п;
Я. Гашека, 2;Я. Гашека;2;;;;
Я. Гашека, 2а;Я. Гашека;2а;1971;5;п;
Я. Гашека, 2б;Я. Гашека;2б;1974;5;п;
Я. Гашека, 3;Я. Гашека;3;1958;2;шл;
Я. Гашека, 4;Я. Гашека;4;;;;
Я. Гашека, 4а;Я. Гашека;4а;1972;5;п;
Я. Гашека, 5;Я. Гашека;5;;;;
Я. Гашека, 6;Я. Гашека;6;;;;
Я. Гашека, 7;Я. Гашека;7;;;;
Я. Гашека, 8;Я. Гашека;8;;;;
Я. Гашека, 9;Я. Гашека;9;1968;5;п;
Явл.шоссе, 16;Явл.шоссе;16;1967;2;к;
Явл.шоссе, 20;Явл.шоссе;20;1967;2;к;
Явл.шоссе, 22;Явл.шоссе;22;1967;2;к;
Явл.шоссе, 24;Явл.шоссе;24;1967;2;к;
Явл.шоссе, 26;Явл.шоссе;26;1967;2;к;
Ярослава Гашека, 1;Ярослава Гашека;1;1960;2;б;
Ярослава Гашека, 11;Ярослава Гашека;11;1969;5;п;
Ярослава Гашека, 11А;Ярослава Гашека;11А;1970;5;п;
Ярослава Гашека, 11а;Ярослава Гашека;11а;1970;5;п;
Ярослава Гашека, 13;Ярослава Гашека;13;1968;5;п;
Ярослава Гашека, 16;Ярослава Гашека;16;2005;5;к;
Ярослава Гашека, 17;Ярослава Гашека;17;1970;5;п;
Ярослава Гашека, 17а;Ярослава Гашека;17а;1972;5;п;
Ярослава Гашека, 2Б;Ярослава Гашека;2Б;1974;5;п;
Ярослава Гашека, 3а;Ярослава Гашека;3а;1970;2;к;
Ярослава Гашека, 47;Ярослава Гашека;47;1992;10;п;
Ярослава Гашека, 9;Ярослава Гашека;9;1960;5;п;
пер.Мира, 10;пер.Мира;10;1956;2;ш/б;
проезд Жамбыла, 1б;проезд Жамбыла;1б;1995;9;п;
